games,year,season,medals,winners,leader,leader_share,top3_share,top5_share,hhi,effective_countries,effective_countries_remerged
1896 Summer,1896,Summer,124,10,GRE,37.903225806451616,65.3225806451613,81.45161290322582,0.20304370447450573,4.925048046124279,4.925048046124279
1900 Summer,1900,Summer,295,24,FRA,34.91525423728814,68.47457627118645,77.6271186440678,0.18724504452743465,5.340595274624118,5.340595274624118
1904 Summer,1904,Summer,283,12,USA,82.68551236749117,90.45936395759718,93.28621908127208,0.6884466031539912,1.4525454776284528,1.4525454776284528
1908 Summer,1908,Summer,322,19,GBR,44.72049689440994,67.08074534161491,77.95031055900623,0.23816596581921995,4.198752733457519,4.198752733457519
1912 Summer,1912,Summer,311,18,SWE,20.90032154340836,54.340836012861736,70.73954983922829,0.12360294041624878,8.09042241739858,8.09042241739858
1920 Summer,1920,Summer,435,22,USA,21.839080459770116,46.206896551724135,63.90804597701149,0.11079402827321971,9.02575721440496,9.02575721440496
1924 Summer,1924,Summer,378,27,USA,26.19047619047619,46.031746031746025,62.69841269841269,0.11398057165252932,8.773425027631093,8.773425027631093
1924 Winter,1924,Winter,53,13,NOR,32.075471698113205,62.264150943396224,75.47169811320754,0.1733713065147739,5.767967145790556,5.767967145790556
1928 Summer,1928,Summer,327,33,USA,17.125382262996943,34.25076452599389,48.31804281345566,0.07286143141710855,13.724682325760494,13.724682325760494
1928 Winter,1928,Winter,41,12,NOR,36.58536585365854,63.41463414634146,82.92682926829268,0.19333729922665083,5.172307692307692,5.172307692307692
1932 Summer,1932,Summer,347,27,USA,29.68299711815562,47.262247838616716,59.94236311239193,0.12586268468303863,7.945166611679315,7.945166611679315
1932 Winter,1932,Winter,42,10,USA,28.571428571428573,69.04761904761905,83.33333333333333,0.18253968253968256,5.478260869565217,5.478260869565217
1936 Summer,1936,Summer,390,32,GER,22.82051282051282,42.820512820512825,52.820512820512825,0.09585798816568047,10.432098765432098,10.412102957283677
1936 Winter,1936,Winter,51,11,NOR,29.41176470588235,54.90196078431372,74.50980392156862,0.15340253748558244,6.518796992481204,6.518796992481204
