games,year,season,host,host_share_pct,baseline_share_pct,lift_pp,n_before,n_after,clean,era
1896 Summer,1896,Summer,GRE,37.9,0.97,36.93,0,2,False,early
1900 Summer,1900,Summer,FRA,34.92,5.16,29.76,1,2,True,early
1904 Summer,1904,Summer,USA,82.69,17.32,65.36,2,2,True,early
1908 Summer,1908,Summer,GBR,44.72,9.7,35.02,2,2,True,early
1912 Summer,1912,Summer,SWE,20.9,7.71,13.19,2,2,True,early
1920 Summer,1920,Summer,BEL,8.28,2.19,6.08,2,2,True,early
1924 Summer,1924,Summer,FRA,10.05,6.46,3.6,2,2,True,early
1928 Summer,1928,Summer,NED,5.81,2.89,2.92,2,2,True,early
1932 Summer,1932,Summer,USA,29.68,19.55,10.13,2,2,True,early
1936 Summer,1936,Summer,GER,22.82,6.58,16.24,2,2,True,early
1948 Summer,1948,Summer,GBR,5.62,3.93,1.69,2,2,True,early
1952 Summer,1952,Summer,FIN,4.79,3.39,1.4,2,2,True,modern
1956 Summer,1956,Summer,AUS,7.46,3.48,3.98,2,2,True,modern
1960 Summer,1960,Summer,ITA,7.81,4.57,3.23,2,2,True,modern
1964 Summer,1964,Summer,JPN,5.75,4.38,1.37,2,2,True,modern
1968 Summer,1968,Summer,MEX,1.71,0.23,1.48,2,2,True,modern
1972 Summer,1972,Summer,FRG,6.67,6.62,0.04,1,2,True,modern
1976 Summer,1976,Summer,CAN,1.79,2.38,-0.59,2,2,True,modern
1980 Summer,1980,Summer,URS,30.9,18.25,12.65,2,1,True,modern
1984 Summer,1984,Summer,USA,25.29,14.26,11.03,2,2,True,modern
1988 Summer,1988,Summer,KOR,4.47,2.6,1.87,2,2,True,modern
1992 Summer,1992,Summer,ESP,2.71,1.12,1.59,2,2,True,modern
1996 Summer,1996,Summer,USA,12.0,11.74,0.25,2,2,True,modern
2000 Summer,2000,Summer,AUS,6.26,4.6,1.66,2,2,True,modern
2004 Summer,2004,Summer,GRE,1.73,0.74,0.98,2,2,True,modern
2008 Summer,2008,Summer,CHN,10.44,7.35,3.09,2,2,True,modern
2012 Summer,2012,Summer,GBR,6.76,5.05,1.71,2,1,True,modern
2016 Summer,2016,Summer,BRA,1.96,1.72,0.24,2,0,False,modern
1924 Winter,1924,Winter,FRA,5.66,2.41,3.25,0,2,False,early
1928 Winter,1928,Winter,SUI,2.44,4.64,-2.2,1,2,True,early
1932 Winter,1932,Winter,USA,28.57,10.81,17.76,2,2,True,early
1936 Winter,1936,Winter,GER,11.76,5.11,6.66,2,2,True,early
1948 Winter,1948,Winter,SUI,14.71,4.9,9.81,2,2,True,early
1952 Winter,1952,Winter,NOR,23.88,14.27,9.61,2,2,True,modern
1956 Winter,1956,Winter,ITA,4.17,2.38,1.78,2,2,True,modern
1960 Winter,1960,Winter,USA,12.35,9.42,2.93,2,2,True,modern
1964 Winter,1964,Winter,AUT,11.54,9.51,2.03,2,2,True,modern
1968 Winter,1968,Winter,FRA,8.65,3.55,5.11,2,2,True,modern
1972 Winter,1972,Winter,JPN,2.86,1.04,1.82,1,2,True,modern
1976 Winter,1976,Winter,AUT,5.41,5.57,-0.16,2,2,True,modern
1980 Winter,1980,Winter,USA,10.43,6.95,3.48,2,2,True,modern
1984 Winter,1984,Winter,YUG,0.85,2.17,-1.32,0,1,False,modern
1988 Winter,1988,Winter,CAN,3.62,4.14,-0.51,2,2,True,modern
1992 Winter,1992,Winter,FRA,5.36,2.69,2.67,2,2,True,modern
1994 Winter,1994,Winter,NOR,12.78,8.83,3.95,2,2,True,modern
1998 Winter,1998,Winter,JPN,4.95,2.05,2.9,2,2,True,modern
2002 Winter,2002,Winter,USA,14.53,9.48,5.05,2,2,True,modern
2006 Winter,2006,Winter,ITA,4.37,3.79,0.58,2,2,True,modern
2010 Winter,2010,Winter,CAN,10.08,8.42,1.66,2,1,True,modern
2014 Winter,2014,Winter,RUS,11.19,7.27,3.91,2,0,False,modern
