games,year,season,ioc_recognised,athletes,female,male,nations,noc_codes,sports,events,events_men,events_women,events_mixed,female_share,women_event_share
1896 Summer,1896,Summer,True,176,0,176,12,12,9,43,43,0,0,0.0,0.0
1900 Summer,1900,Summer,True,1224,23,1201,31,31,20,90,71,2,17,1.8790849673202614,2.2222222222222223
1904 Summer,1904,Summer,True,650,6,644,15,15,18,95,92,3,0,0.9230769230769231,3.1578947368421053
1906 Summer,1906,Summer,False,841,6,835,21,21,13,74,72,1,1,0.713436385255648,1.3513513513513513
1908 Summer,1908,Summer,True,2024,44,1980,22,22,24,109,97,4,8,2.1739130434782608,3.669724770642202
1912 Summer,1912,Summer,False,2409,53,2356,28,29,17,107,91,5,11,2.2000830220008303,4.672897196261682
1920 Summer,1920,Summer,False,2676,78,2598,29,29,25,158,133,8,17,2.914798206278027,5.063291139240507
1924 Summer,1924,Summer,False,3256,156,3100,45,45,20,131,112,10,9,4.791154791154791,7.633587786259542
1924 Winter,1924,Winter,True,313,13,300,19,19,10,17,14,1,2,4.15335463258786,5.882352941176471
1928 Summer,1928,Summer,False,3247,312,2935,46,46,17,122,92,14,16,9.608869725900831,11.475409836065573
1928 Winter,1928,Winter,True,461,28,433,25,25,8,14,12,1,1,6.073752711496746,7.142857142857143
1932 Summer,1932,Summer,False,1922,201,1721,47,47,18,131,99,14,18,10.457856399583767,10.687022900763358
1932 Winter,1932,Winter,True,252,21,231,17,17,7,14,12,1,1,8.333333333333334,7.142857142857143
1936 Summer,1936,Summer,False,4484,361,4123,49,49,24,150,110,15,25,8.05084745762712,10.0
1936 Winter,1936,Winter,True,668,80,588,28,28,8,17,14,2,1,11.976047904191617,11.764705882352942
1948 Summer,1948,Summer,False,4402,446,3956,59,59,20,153,112,19,22,10.131758291685598,12.418300653594772
1948 Winter,1948,Winter,True,668,77,591,28,28,9,22,17,4,1,11.52694610778443,18.181818181818183
1952 Summer,1952,Summer,True,4932,521,4411,69,69,19,149,117,25,7,10.563665855636659,16.778523489932887
1952 Winter,1952,Winter,True,694,109,585,30,30,8,22,16,5,1,15.706051873198847,22.727272727272727
1956 Summer,1956,Summer,True,3347,384,2963,72,72,19,151,116,26,9,11.472960860472064,17.218543046357617
1956 Winter,1956,Winter,True,821,132,689,32,32,8,24,17,6,1,16.077953714981728,25.0
1960 Summer,1960,Summer,True,5352,613,4739,84,84,19,150,113,29,8,11.453662182361734,19.333333333333332
1960 Winter,1960,Winter,True,665,144,521,30,30,8,27,16,10,1,21.654135338345863,37.03703703703704
1964 Summer,1964,Summer,True,5137,680,4457,93,93,21,163,119,33,11,13.237298033871909,20.245398773006134
1964 Winter,1964,Winter,True,1094,200,894,36,36,10,34,20,12,2,18.281535648994517,35.294117647058826
1968 Summer,1968,Summer,True,5558,783,4775,112,112,20,172,115,39,18,14.087801367398345,22.674418604651162
1968 Winter,1968,Winter,True,1160,211,949,37,37,10,35,21,12,2,18.189655172413794,34.285714285714285
1972 Summer,1972,Summer,True,7114,1060,6054,121,121,23,193,132,43,18,14.90019679505201,22.27979274611399
1972 Winter,1972,Winter,True,1008,206,802,35,35,10,35,21,12,2,20.436507936507937,34.285714285714285
1976 Summer,1976,Summer,True,6073,1260,4813,92,92,23,198,130,49,19,20.74757121686152,24.747474747474747
1976 Winter,1976,Winter,True,1128,231,897,37,37,10,37,22,12,3,20.47872340425532,32.432432432432435
1980 Summer,1980,Summer,True,5259,1123,4136,80,80,23,203,134,50,19,21.35386955694999,24.63054187192118
1980 Winter,1980,Winter,True,1071,235,836,37,37,10,38,23,12,3,21.942110177404295,31.57894736842105
1984 Summer,1984,Summer,True,6798,1569,5229,140,140,25,221,145,62,14,23.080317740511916,28.054298642533936
1984 Winter,1984,Winter,True,1273,277,996,49,49,10,39,23,13,3,21.75962293794187,33.333333333333336
1988 Summer,1988,Summer,True,8454,2203,6251,159,159,27,237,151,72,14,26.058670451857108,30.379746835443036
1988 Winter,1988,Winter,True,1425,315,1110,57,57,10,46,27,16,3,22.105263157894736,34.78260869565217
1992 Summer,1992,Summer,True,9386,2723,6663,168,169,29,257,159,86,12,29.01129341572555,33.463035019455255
1992 Winter,1992,Winter,True,1801,488,1313,64,64,12,57,31,23,3,27.096057745696836,40.35087719298246
1994 Winter,1994,Winter,True,1738,522,1216,67,67,12,61,33,25,3,30.034522439585732,40.98360655737705
1996 Summer,1996,Summer,True,10339,3517,6822,197,197,31,271,163,97,11,34.016829480607406,35.79335793357934
1998 Winter,1998,Winter,True,2179,789,1390,72,72,14,68,36,29,3,36.209270307480494,42.64705882352941
2000 Summer,2000,Summer,True,10647,4068,6579,199,200,34,300,168,120,12,38.20794590025359,40.0
2002 Winter,2002,Winter,True,2399,886,1513,77,77,15,78,41,34,3,36.93205502292622,43.58974358974359
2004 Summer,2004,Summer,True,10557,4300,6257,201,201,34,301,166,125,10,40.73126835275173,41.52823920265781
2006 Winter,2006,Winter,True,2494,955,1539,79,79,15,84,44,37,3,38.291900561347234,44.04761904761905
2008 Summer,2008,Summer,True,10899,4609,6290,204,204,34,302,165,127,10,42.288283328745756,42.05298013245033
2010 Winter,2010,Winter,True,2536,1033,1503,82,82,15,86,45,38,3,40.73343848580441,44.18604651162791
2012 Summer,2012,Summer,True,10517,4654,5863,204,205,32,302,162,132,8,44.25216316440049,43.70860927152318
2014 Winter,2014,Winter,True,2745,1102,1643,88,89,15,98,49,43,6,40.145719489981786,43.87755102040816
2016 Summer,2016,Summer,True,11179,5034,6145,205,207,34,306,161,136,9,45.03086143662224,44.44444444444444
